,Sample Site,Coliform (Quanti-Tray) (MPN /100mL),X coordinate,Y coordinate,lon,lat
246,24450,1,999844,176855,-73.94380141303827,40.652088567297184
247,24650,1,1009614,177814,-73.90858814122045,40.65469815187235
248,25100,1,1006510,182108,-73.91976074761692,40.66649257938577
249,25150,1,1010559,181082,-73.90516959974909,40.66366531219119
250,25950,1,1003601,164002,-73.93029865236225,40.616802441343616
251,26700,1,994175,185107,-73.96421947867475,40.67474664296758
252,26850,1,983249,150034,-74.00360362704451,40.57848439711913
253,27000,1,996850,197261,-73.95455308838825,40.70810308861582
254,28450,1,991065,163335,-73.97545340538869,40.614990269279986
255,29300,1,985555,179528,-73.99529638814342,40.659439077631326
256,30350,1,989223,201145,-73.98205989544891,40.71877133415851
257,30550,1,982568,196479,-74.00606641983953,40.70596557740837
258,31450,1,984155,201407,-74.00034250815723,40.71949188153384
259,31550,1,983716,209861,-74.00192681744367,40.742695982697526
260,31650,1,995588,221044,-73.95906479579692,40.7733831867909
261,31950,1,987340,216552,-73.98884559358955,40.7610605516215
262,32200,1,999894,240792,-73.94347231433203,40.827579554686814
263,33250,1,992843,231209,-73.96896238687228,40.80128655465474
264,33950,1,999690,227009,-73.94424114973137,40.789749328412626
265,34050,1,1002425,248841,-73.93430508475343,40.84966689985901
266,34200,1,993173,228471,-73.9677740884745,40.79377114546617
267,34650,1,1000866,244313,-73.939951405361,40.83724192380406
268,35350,1,1006457,254634,-73.91971198690452,40.86555773098043
269,36100,1,989398,215557,-73.98141748964422,40.75832855833493
270,37950,1,988485,205450,-73.98471946525459,40.73058787954905
271,38300,1,1003227,247967,-73.93140868274912,40.84726633222183
272,39650,1,992565,214253,-73.96998749304231,40.754746979152
273,39750,1,995942,218935,-73.95779037786356,40.767594057429235
274,39950,1,990776,227477,-73.97643187848973,40.79104498431266
275,3SC26,1,1003134,247853,-73.93174514575891,40.84695363516851
276,40200,1,1012206,222705,-73.89905998407974,40.777905192916165
277,40650,1,1018876,216530,-73.87500870356389,40.76093277024723
278,40800,1,1011829,212286,-73.90046396290408,40.74930887829528
279,40950,1,1019803,210877,-73.87169237704805,40.745413038979606
280,41050,1,1018708,206370,-73.8756672264693,40.73304680830918
281,41150,1,1026226,207866,-73.8485312313095,40.73712043223556
282,41450,1,1012510,193596,-73.89808472395124,40.69800730719213
283,41600,1,1021543,205810,-73.86544100391384,40.73149823777537
284,41650,1,1026792,202666,-73.84652174450272,40.72284503324427
